@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44}

@data
494,'2020/10/15 21:39:00:779',533,-7.012972,10.250546,-0.981275,1447.508423,177.771835,-26.018833,9.366209,-1.109698,0.27083,4.045129,1.3959,-0.174464,1.715062,0.006527,0.018782,10
495,'2020/10/15 21:39:01:590',534,11.102812,-0.523858,0.039492,1641.710449,-127.679588,5.962812,11.633207,2.080873,-0.122865,5.743404,-0.092344,0.005441,2.039029,0.29577,-0.015391,11
496,'2020/10/15 21:39:02:059',535,16.338923,-0.45326,-0.000321,1641.059204,-161.487991,13.238135,4.285957,1.866132,-0.155799,6.091859,0.305176,-0.039015,1.600338,0.30402,-0.023615,12
497,'2020/10/15 21:39:02:934',536,6.784394,-0.005478,0.02172,1491.667603,-50.891197,2.841741,12.157025,0.250867,-0.026753,3.15718,0.119226,-0.000349,2.632075,0.03032,-0.003517,13
498,'2020/10/15 21:39:03:478',537,13.339334,2.45591,-0.378828,1828.40686,-133.968445,23.641539,5.995176,-0.145454,-0.001373,6.957465,-0.026651,-0.0382,1.494801,0.176359,-0.027147,14
499,'2020/10/15 21:39:04:343',538,14.349803,-0.83925,0.045865,5399.458496,-672.177551,26.683695,-4.286076,3.253245,-0.140919,4.19407,-0.019132,0.005355,-0.750867,0.619734,-0.026828,15
500,'2020/10/15 21:39:05:260',539,17.698584,-1.161079,0.057694,4769.474609,-305.564514,8.9045,0.028201,0.602436,-0.019584,7.115673,-0.297511,0.010984,-0.669332,0.244323,-0.007183,16
501,'2020/10/15 21:39:05:739',540,17.704685,0.276438,-0.076278,1908.509888,394.580688,-52.641338,4.918065,-0.705823,0.086484,5.694693,0.035543,0.013009,1.529981,-0.231642,0.029314,17
502,'2020/10/15 21:39:06:540',541,2.564815,0.893833,-0.021382,1805.648315,-158.820145,5.370994,0.734424,4.943511,-0.170475,3.106526,0.124467,0.003252,1.402015,0.472187,-0.015713,18
503,'2020/10/15 21:39:07:350',542,13.039194,-1.241674,0.06364,665.349976,21.112017,-1.184653,41.911983,-2.208779,0.112738,6.824582,-0.351471,0.017389,5.231882,-0.142824,0.007665,19
504,'2020/10/15 21:39:08:214',543,10.559355,-0.46386,0.026229,566.504211,73.84745,-3.215079,44.915382,-2.99527,0.137877,6.416607,-0.15165,0.004628,5.598923,-0.265411,0.011383,20
505,'2020/10/15 21:39:08:960',544,13.16439,-1.364527,0.081146,748.90448,-14.014065,1.203101,23.538816,3.568511,-0.163975,6.308293,-0.364975,0.023099,3.841429,0.256536,-0.012946,21
506,'2020/10/15 21:39:09:750',545,11.924238,-0.81072,0.045133,584.17865,37.60112,-0.38247,56.559601,-3.118325,0.031965,5.960954,-0.33555,0.020065,5.758006,-0.166896,-0.00065,22
